日付,曜日,時間,部活の有無,その他
2024-07-01,月曜日,17:00 - 19:00,あり,通常練習
2024-07-02,火曜日,17:00 - 19:00,あり,通常練習
2024-07-03,水曜日,休み,なし,休養日
2024-07-04,木曜日,17:00 - 19:00,あり,通常練習
2024-07-05,金曜日,17:00 - 19:00,あり,外練
2024-07-06,土曜日,17:00 - 19:00,あり,通常練習
2024-07-07,日曜日,休み,なし,休養日
2024-07-08,月曜日,17:00 - 19:00,あり,通常練習
2024-07-09,火曜日,17:00 - 19:00,あり,通常練習
2024-07-10,水曜日,休み,なし,休養日
2024-07-11,木曜日,17:00 - 19:00,あり,通常練習
2024-07-12,金曜日,17:00 - 19:00,あり,外練
2024-07-13,土曜日,17:00 - 19:00,あり,通常練習
2024-07-14,日曜日,休み,なし,休養日
2024-07-15,月曜日,17:00 - 19:00,あり,通常練習
2024-07-16,火曜日,17:00 - 19:00,あり,通常練習
2024-07-17,水曜日,休み,なし,休養日
2024-07-18,木曜日,17:00 - 19:00,あり,通常練習
2024-07-19,金曜日,17:00 - 19:00,あり,外練
2024-07-20,土曜日,17:00 - 19:00,あり,通常練習
2024-07-21,日曜日,5:00 - 23:00,あり,特別練習
2024-07-22,月曜日,17:00 - 19:00,あり,通常練習
2024-07-23,火曜日,17:00 - 19:00,あり,通常練習
2024-07-24,水曜日,休み,なし,休養日
2024-07-25,木曜日,17:00 - 19:00,あり,通常練習
2024-07-26,金曜日,17:00 - 19:00,あり,外練
2024-07-27,土曜日,17:00 - 19:00,あり,通常練習
2024-07-28,日曜日,休み,なし,休養日
2024-07-29,月曜日,17:00 - 19:00,あり,通常練習
2024-07-30,火曜日,17:00 - 19:00,あり,通常練習
2024-07-31,水曜日,休み,なし,休養日
